d,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft DirectX SDK (March 2009)
f,J:\Program Files\DXSDK\Developer Runtime\x64\D3DX10d_41.dll,FINHAIAAIAAAAAAAALPDHHDEHPKGMJABBKAAAJAABMALLIAD
f,J:\Program Files\DXSDK\Developer Runtime\x64\d3dx9d_33.dll,FILFEJAAIAAAAAAAOMNGMFCOHPKGMJABBCAAAJAAAPAAIIAD
f,J:\Program Files\DXSDK\Developer Runtime\x64\D3DX9d_41.dll,FIFPFDAAIAAAAAAAMKOACPCOHPKGMJABBKAAAJAABMALLIAD
f,J:\Program Files\DXSDK\Developer Runtime\x64\X3DAudioD1_6.dll,EINBAAAAIAAAAAAAHMHCCHBOHPKGMJABBKAAAJAAAAAADGAG
f,J:\Program Files\DXSDK\Developer Runtime\x64\XactEngineD3_4.dll,EIPFAEAAIAAAAAAAGHHNFFCMHPKGMJABBKAAAJAAAAAADGAG
f,J:\Program Files\DXSDK\Developer Runtime\x64\XactEngineA3_4.dll,FIDHAGAAIAAAAAAADOPEDLCBHPKGMJABBKAAAJAAAAAADGAG
f,J:\Program Files\DXSDK\Developer Runtime\x64\XAudioD2_4.dll,FIOPAOAAIAAAAAAAILEDFHDJHPKGMJABBKAAAJAAAAAADGAG
f,J:\Program Files\DXSDK\Developer Runtime\x64\XAPOFXD1_3.dll,EIAPACAAIAAAAAAAEDMBLHCGHPKGMJABBKAAAJAAAAAADGAG
f,J:\Program Files\DXSDK\Developer Runtime\x86\D3DX10d_41.dll,EIJHAHAAIAAAAAAANKMJHOCKHPKGMJABBKAAAJAABMALLIAD
f,J:\Program Files\DXSDK\Developer Runtime\x86\d3dx9d_33.dll,EIOLDJAAIAAAAAAAKLHPLJDOHPKGMJABBCAAAJAAAPAAIIAD
f,J:\Program Files\DXSDK\Developer Runtime\x86\D3dx9d_41.dll,EIEPEBAAIAAAAAAAMKOACPCOHPKGMJABBKAAAJAABMALLIAD
f,J:\Program Files\DXSDK\Developer Runtime\x86\X3DAudioD1_6.dll,EILBAAAAIAAAAAAAGAKLHGBIHPKGMJABBKAAAJAAAAAADGAG
f,J:\Program Files\DXSDK\Developer Runtime\x86\XactEngineD3_4.dll,EIDNAFAAIAAAAAAADHLPMHCMHPKGMJABBKAAAJAAAAAADGAG
f,J:\Program Files\DXSDK\Developer Runtime\x86\XactEngineA3_4.dll,FIILAGAAIAAAAAAANHJNEMCBHPKGMJABBKAAAJAAAAAADGAG
f,J:\Program Files\DXSDK\Developer Runtime\x86\XAudioD2_4.dll,FIDHAOAAIAAAAAAAELKDLADIHPKGMJABBKAAAJAAAAAADGAG
f,J:\Program Files\DXSDK\Developer Runtime\x86\XAPOFXD1_3.dll,EIOLABAAIAAAAAAAEENMNACFHPKGMJABBKAAAJAAAAAADGAG
f,J:\Program Files\DXSDK\Documentation\DirectX9\directx_sdkCollectionKIndex.hxk,OHAAAAAAIAAAAAAAOPMCJKOHHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\directx_sdkCollectionFIndex.hxk,OGAAAAAAIAAAAAAAJCGAJIOHHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\directx_sdkCollectionAIndex.hxk,OGAAAAAAIAAAAAAAJCGAJIOHHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\directx_sdkCollection.hxt,OEAAAAAAIAAAAAAAJCGAJIOHHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\directx_sdkCollection.hxc,MGADAAAAIAAAAAAAJCGAJIOHHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\directx_sdk.hxs,OEPJOGABIAAAAAAAPPEPHPAOHLKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\directx_sdk.chi,NMEDAEAAIAAAAAAADGMEHLOHHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\directx_sdk.chm,FOFENLABIAAAAAAAHMPPHGOHHKKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\d3d11CollectionKIndex.hxk,OHAAAAAAIAAAAAAAOAAPHBBGHLKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\d3d11CollectionFIndex.hxk,OGAAAAAAIAAAAAAAOAAPHBBGHLKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\d3d11CollectionAIndex.hxk,OGAAAAAAIAAAAAAAOAAPHBBGHLKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\d3d11Collection.hxt,OOAAAAAAIAAAAAAAOAAPHBBGHLKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\d3d11Collection.hxc,LIADAAAAIAAAAAAAOAAPHBBGHLKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\d3d11.hxs,AJJDBFAAIAAAAAAABINEDNBKHLKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\d3d11.chi,FHNCAAAAIAAAAAAAPIPMFNBGHLKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\d3d11.chm,DMODBCAAIAAAAAAAJLJKFLBGHLKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\DirectX9\mshelp2tool.exe,EIEHACAAIAAAAAAAKELHENCHHPKGMJABAAAAAGAAACEAHABH
f,J:\Program Files\DXSDK\Documentation\License Agreements\DirectX End User EULA.txt,PBBCAAAAIAAAAAAAPJKAJOFODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\License Agreements\directx redist.txt,LIABAAAAIAAAAAAAPJKAJOFODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\License Agreements\DirectX SDK EULA.rtf,HFBLADAAIAAAAAAAFPPLNPJHHJKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\License Agreements\DirectX SDK EULA.txt,CBEHAAAAIAAAAAAALMFNOCJHHJKGMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\License Agreements\libjpg-readme.txt,LKFBAAAAIAAAAAAADILIIMFKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\License Agreements\libpng-license.txt,HLAOAAAAIAAAAAAADILIIMFKDHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Documentation\License Agreements\Roland-license.txt,KNALAAAAIAAAAAAALDGFKDFODHIDMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\DirectSound\Debug\x64\dsound.dll,EIGNALAAIAAAAAAAILPJBLDHHPKGMJABAEAAAFAAFIALAAAA
f,J:\Program Files\DXSDK\Extras\DirectSound\Debug\x86\dsound.dll,EIOPAIAAIAAAAAAAMLIGOGDFHPKGMJABAEAAAFAAFIALAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x64\dll\dsound.pdb,AAEMALAACBAAAAAAIHEJJIMDCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x64\dll\d3dx9d_33.pdb,AAOMBOAACBAAAAAAPLDHGGMDCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x64\dll\D3DX9d_41.pdb,AAKMCFAACBAAAAAABDNPBODGAGKBMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x64\dll\D3DX10d_41.pdb,AACMAGAACBAAAAAAJPFFBFDGAGKBMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x64\dll\d3d9d.pdb,AACMBNAACBAAAAAAPPJMCKMDCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x64\Winvista\dll\d3d9d.pdb,AAAMCFAACBAAAAAAPHNCKBMDCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x64\Winvista\dll\d3dref9.pdb,AAOMAEAACBAAAAAAFDDFKEMDCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\d3d9d.pdb,AAIMCBAACBAAAAAAPPDDMDMDCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\D3DX10d_41.pdb,AAOMAHAACBAAAAAAHAEBCBDGAGKBMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\d3dx9d_33.pdb,AAGMCHAACBAAAAAAJPGMPMMDCAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\D3DX9d_41.pdb,AAAMDBAACBAAAAAAPLPBDBDGAGKBMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\dsound.pdb,AAGMAKAACBAAAAAAEDKBJCMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\Microsoft.DirectX.AudioVideoPlayback.pdb,AAGMACAACBAAAAAAEDKBJCMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\Microsoft.DirectX.Diagnostics.pdb,AAIMAAAACBAAAAAAEDKBJCMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\Microsoft.DirectX.Direct3D.pdb,AAKMAJAACBAAAAAAPLGFJHMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\Microsoft.DirectX.Direct3DX.pdb,AAKMAMAACBAAAAAAFHMIJJMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\Microsoft.DirectX.DirectDraw.pdb,AAKMADAACBAAAAAALDCKJMMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\Microsoft.DirectX.DirectInput.pdb,AAEMADAACBAAAAAALDCKJMMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\Microsoft.DirectX.DirectPlay.pdb,AAMMAHAACBAAAAAAAPINJOMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\Microsoft.DirectX.DirectSound.pdb,AAKMAEAACBAAAAAAAPINJOMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\dll\Microsoft.DirectX.pdb,AAMMAHAACBAAAAAACDLEKFMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\Win2K\dll\dinput8d.pdb,AAKEAGAACBAAAAAADHNLKMMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\WinVista\dll\d3d9d.pdb,AAEMCKAACBAAAAAAKPMFNHMECAIJMJABAAAAAAAAAAAAAAAA
f,J:\Program Files\DXSDK\Extras\Symbols\debug\x86\WinVista\dll\d3dref9.pdb,AAEMAFAACBAAAAAAALCINKMECAIJMJABAAAAAAAAAAAAAAAA
